x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-8.84660E-06,+303.05449471E-03,+7.30910833E-03,+310.19552245E-03,-83.52590991E-03
-8.83660E-06,+303.05449471E-03,+6.73976160E-03,+310.19552245E-03,-83.47188981E-03
-8.82660E-06,+303.05449471E-03,+6.18360583E-03,+310.19552245E-03,-83.48633705E-03
-8.81660E-06,+303.05449471E-03,+5.65307819E-03,+310.19552245E-03,-83.41755564E-03
-8.80660E-06,+303.05449471E-03,+5.21250031E-03,+310.19552245E-03,-83.51680187E-03
-8.79660E-06,+303.05449471E-03,+5.48925910E-03,+310.19552245E-03,-83.39525664E-03
-8.78660E-06,+303.05449471E-03,+4.74930936E-03,+310.19552245E-03,-83.51868629E-03
-8.77660E-06,+303.05449471E-03,+4.78699780E-03,+310.19552245E-03,-83.42226669E-03
-8.76660E-06,+303.05449471E-03,+4.10433449E-03,+310.19552245E-03,-83.51900036E-03
-8.75660E-06,+303.05449471E-03,+4.08096766E-03,+310.19552245E-03,-83.40310840E-03
-8.74660E-06,+303.05449471E-03,+3.56915862E-03,+310.19552245E-03,-83.50235463E-03
-8.73660E-06,+303.05449471E-03,+3.53209832E-03,+310.19552245E-03,-83.40876167E-03
-8.72660E-06,+303.05449471E-03,+3.20923400E-03,+310.19552245E-03,-83.50329684E-03
-8.71660E-06,+303.05449471E-03,+2.58147019E-03,+310.19552245E-03,-83.43765614E-03
-8.70660E-06,+303.05449471E-03,+2.55596767E-03,+310.19552245E-03,-83.49324659E-03
-8.69660E-06,+303.05449471E-03,+2.14792748E-03,+310.19552245E-03,-83.39619886E-03
-8.68660E-06,+303.05449471E-03,+1.46400789E-03,+310.19552245E-03,-83.49827172E-03
-8.67660E-06,+303.05449471E-03,+1.37958578E-03,+310.19552245E-03,-83.43639986E-03
-8.66660E-06,+303.05449471E-03,+1.02694759E-03,+310.19552245E-03,-83.53250539E-03
-8.65660E-06,+303.05449471E-03,+622.92749E-06,+310.19552245E-03,-83.43357323E-03
-8.64660E-06,+303.05449471E-03,+219.03302E-06,+310.19552245E-03,-83.56202800E-03
-8.63660E-06,+303.05449471E-03,-366.64536E-06,+310.19552245E-03,-83.43357323E-03
-8.62660E-06,+303.05449471E-03,-447.42425E-06,+310.19552245E-03,-83.51994257E-03
-8.61660E-06,+303.05449471E-03,-1.05408254E-03,+310.19552245E-03,-83.40405061E-03
-8.60660E-06,+303.05449471E-03,-1.15546445E-03,+310.19552245E-03,-83.50989232E-03
-8.59660E-06,+303.05449471E-03,-1.66124334E-03,+310.19552245E-03,-83.41284458E-03
-8.58660E-06,+303.05562537E-03,-1.13561520E-03,+310.19552245E-03,-83.51491745E-03
-8.57660E-06,+303.05449471E-03,-1.63423329E-03,+310.19552245E-03,-83.43231695E-03
-8.56660E-06,+303.05449471E-03,-2.19918303E-03,+310.19552245E-03,-83.50675162E-03
-8.55660E-06,+303.05449471E-03,-1.94340414E-03,+310.19552245E-03,-83.47251795E-03
-8.54660E-06,+303.05449471E-03,-2.50935891E-03,+310.19552245E-03,-83.53156318E-03
-8.53660E-06,+303.05449471E-03,-2.97619307E-03,+310.19552245E-03,-83.44833453E-03
-8.52660E-06,+303.05449471E-03,-2.97355488E-03,+310.19552245E-03,-83.54349785E-03
-8.51660E-06,+303.05449471E-03,-3.70571568E-03,+310.19552245E-03,-83.42666368E-03
-8.50660E-06,+303.05449471E-03,-3.86262522E-03,+310.19552245E-03,-83.55825916E-03
-8.49660E-06,+303.05449471E-03,-4.16438401E-03,+310.19552245E-03,-83.35913855E-03
-8.48660E-06,+303.05449471E-03,-4.92192169E-03,+310.19552245E-03,-83.53784458E-03
-8.47660E-06,+303.05449471E-03,-5.00232370E-03,+310.19552245E-03,-83.40656318E-03
-8.46660E-06,+303.05449471E-03,-5.15672069E-03,+310.19552245E-03,-83.56171393E-03
-8.45660E-06,+303.05449471E-03,-5.61840410E-03,+310.19552245E-03,-83.46372398E-03
-8.44660E-06,+303.05449471E-03,-6.02845435E-03,+310.19552245E-03,-83.57647524E-03
-8.43660E-06,+303.05562537E-03,-5.79428349E-03,+310.19552245E-03,-83.44582197E-03
-8.42660E-06,+303.05449471E-03,-6.33976087E-03,+310.19552245E-03,-83.51428931E-03
-8.41660E-06,+303.05449471E-03,-6.85973574E-03,+310.19552245E-03,-83.47126167E-03
-8.40660E-06,+303.05449471E-03,-7.10445936E-03,+310.19552245E-03,-83.52339735E-03
-8.39660E-06,+303.05449471E-03,-7.40684629E-03,+310.19552245E-03,-83.36573403E-03
-8.38660E-06,+303.05449471E-03,-7.50207242E-03,+310.19552245E-03,-83.54318378E-03
-8.37660E-06,+303.05449471E-03,-8.09667040E-03,+310.19552245E-03,-83.44896267E-03
-8.36660E-06,+303.05449471E-03,-8.40056487E-03,+310.19552245E-03,-83.51994257E-03
-8.35660E-06,+303.05449471E-03,-8.84566537E-03,+310.19552245E-03,-83.47251795E-03
-8.34660E-06,+303.05449471E-03,-8.46601713E-03,+310.19552245E-03,-83.51900036E-03
-8.33660E-06,+303.05606506E-03,-9.33159501E-03,+310.19552245E-03,-83.41881192E-03
-8.32660E-06,+303.05449471E-03,-9.08636889E-03,+310.19552245E-03,-83.48162599E-03
